"We acknowledge the authors, originating and submitting laboratories of the sequences from GISAIDÕs EpiFluª Database on which this research is based. The list is detailed below."							
All submitters of data may be contacted directly via the GISAID website www.gisaid.org							
Segment ID	Segment	Country	Collection date	Isolate name	Originating Lab	Submitting Lab	Authors
							
EPI1322400	MP	France	2017-Jan-23	A/Lyon/491/2017	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322280	NA	France	2017-Jan-23	A/Lyon/491/2017	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321800	PB1	France	2017-Jan-23	A/Lyon/491/2017	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322160	NP	France	2017-Jan-23	A/Lyon/491/2017	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321920	PA	France	2017-Jan-23	A/Lyon/491/2017	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321680	PB2	France	2017-Jan-23	A/Lyon/491/2017	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322520	NS	France	2017-Jan-23	A/Lyon/491/2017	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322040	HA	France	2017-Jan-23	A/Lyon/491/2017	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322399	MP	France	2017-Jan-23	A/Lyon/490/2017	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322279	NA	France	2017-Jan-23	A/Lyon/490/2017	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321799	PB1	France	2017-Jan-23	A/Lyon/490/2017	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322159	NP	France	2017-Jan-23	A/Lyon/490/2017	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321919	PA	France	2017-Jan-23	A/Lyon/490/2017	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321679	PB2	France	2017-Jan-23	A/Lyon/490/2017	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322039	HA	France	2017-Jan-23	A/Lyon/490/2017	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322519	NS	France	2017-Jan-23	A/Lyon/490/2017	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321743	PB1	France	2017-Jan-10	A/Lyon/171/2017	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322223	NA	France	2017-Jan-10	A/Lyon/171/2017	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321863	PA	France	2017-Jan-10	A/Lyon/171/2017	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
