"We acknowledge the authors, originating and submitting laboratories of the sequences from GISAIDÕs EpiFluª Database on which this research is based. The list is detailed below."							
All submitters of data may be contacted directly via the GISAID website www.gisaid.org							
Segment ID	Segment	Country	Collection date	Isolate name	Originating Lab	Submitting Lab	Authors
							
EPI1322792	NP	Switzerland	2017-Dec-21	A/Switzerland/8060/2017	National Institute for Medical Research	Centers for Disease Control and Prevention	
EPI1322793	NS	Switzerland	2017-Dec-21	A/Switzerland/8060/2017	National Institute for Medical Research	Centers for Disease Control and Prevention	
EPI1322794	MP	Switzerland	2017-Dec-21	A/Switzerland/8060/2017	National Institute for Medical Research	Centers for Disease Control and Prevention	
EPI1322795	PA	Switzerland	2017-Dec-21	A/Switzerland/8060/2017	National Institute for Medical Research	Centers for Disease Control and Prevention	
EPI1322796	PB2	Switzerland	2017-Dec-21	A/Switzerland/8060/2017	National Institute for Medical Research	Centers for Disease Control and Prevention	
EPI1322797	PB1	Switzerland	2017-Dec-21	A/Switzerland/8060/2017	National Institute for Medical Research	Centers for Disease Control and Prevention	
EPI1322798	NA	Switzerland	2017-Dec-21	A/Switzerland/8060/2017	National Institute for Medical Research	Centers for Disease Control and Prevention	
EPI1322799	HA	Switzerland	2017-Dec-21	A/Switzerland/8060/2017	National Institute for Medical Research	Centers for Disease Control and Prevention	
EPI1302267	HA	United States	2017-Dec-13	A/Arizona/MAP6088A/2017		Other Database Import	"Sitz,C.R.; Koster,B.L.; Balansay-Ames,M.S.; Graf,P.C.; Myers,C.A."
EPI1302268	MP	United States	2017-Dec-13	A/Arizona/MAP6088A/2017		Other Database Import	"Sitz,C.R.; Koster,B.L.; Balansay-Ames,M.S.; Graf,P.C.; Myers,C.A."
EPI1302269	NA	United States	2017-Dec-13	A/Arizona/MAP6088A/2017		Other Database Import	"Sitz,C.R.; Koster,B.L.; Balansay-Ames,M.S.; Graf,P.C.; Myers,C.A."
EPI1302270	NP	United States	2017-Dec-13	A/Arizona/MAP6088A/2017		Other Database Import	"Sitz,C.R.; Koster,B.L.; Balansay-Ames,M.S.; Graf,P.C.; Myers,C.A."
EPI1302271	NS	United States	2017-Dec-13	A/Arizona/MAP6088A/2017		Other Database Import	"Sitz,C.R.; Koster,B.L.; Balansay-Ames,M.S.; Graf,P.C.; Myers,C.A."
EPI1302272	PA	United States	2017-Dec-13	A/Arizona/MAP6088A/2017		Other Database Import	"Sitz,C.R.; Koster,B.L.; Balansay-Ames,M.S.; Graf,P.C.; Myers,C.A."
EPI1302274	PB1	United States	2017-Dec-13	A/Arizona/MAP6088A/2017		Other Database Import	"Sitz,C.R.; Koster,B.L.; Balansay-Ames,M.S.; Graf,P.C.; Myers,C.A."
EPI1302275	PB2	United States	2017-Dec-13	A/Arizona/MAP6088A/2017		Other Database Import	"Sitz,C.R.; Koster,B.L.; Balansay-Ames,M.S.; Graf,P.C.; Myers,C.A."
EPI1302257	HA	United States	2017-Dec-08	A/California/SAR20953N/2017		Other Database Import	"Sitz,C.R.; Koster,B.L.; Balansay-Ames,M.S.; Graf,P.C.; Myers,C.A."
EPI1302258	MP	United States	2017-Dec-08	A/California/SAR20953N/2017		Other Database Import	"Sitz,C.R.; Koster,B.L.; Balansay-Ames,M.S.; Graf,P.C.; Myers,C.A."
EPI1302260	NA	United States	2017-Dec-08	A/California/SAR20953N/2017		Other Database Import	"Sitz,C.R.; Koster,B.L.; Balansay-Ames,M.S.; Graf,P.C.; Myers,C.A."
EPI1302261	NP	United States	2017-Dec-08	A/California/SAR20953N/2017		Other Database Import	"Sitz,C.R.; Koster,B.L.; Balansay-Ames,M.S.; Graf,P.C.; Myers,C.A."
EPI1302262	NS	United States	2017-Dec-08	A/California/SAR20953N/2017		Other Database Import	"Sitz,C.R.; Koster,B.L.; Balansay-Ames,M.S.; Graf,P.C.; Myers,C.A."
EPI1302263	PA	United States	2017-Dec-08	A/California/SAR20953N/2017		Other Database Import	"Sitz,C.R.; Koster,B.L.; Balansay-Ames,M.S.; Graf,P.C.; Myers,C.A."
EPI1302264	PB1	United States	2017-Dec-08	A/California/SAR20953N/2017		Other Database Import	"Sitz,C.R.; Koster,B.L.; Balansay-Ames,M.S.; Graf,P.C.; Myers,C.A."
EPI1302265	PB2	United States	2017-Dec-08	A/California/SAR20953N/2017		Other Database Import	"Sitz,C.R.; Koster,B.L.; Balansay-Ames,M.S.; Graf,P.C.; Myers,C.A."
EPI1302203	HA	United States	2017-Dec-19	A/Arizona/MAP6097A/2017		Other Database Import	"Sitz,C.R.; Koster,B.L.; Balansay-Ames,M.S.; Graf,P.C.; Myers,C.A."
EPI1302204	MP	United States	2017-Dec-19	A/Arizona/MAP6097A/2017		Other Database Import	"Sitz,C.R.; Koster,B.L.; Balansay-Ames,M.S.; Graf,P.C.; Myers,C.A."
EPI1302205	NA	United States	2017-Dec-19	A/Arizona/MAP6097A/2017		Other Database Import	"Sitz,C.R.; Koster,B.L.; Balansay-Ames,M.S.; Graf,P.C.; Myers,C.A."
EPI1302206	NP	United States	2017-Dec-19	A/Arizona/MAP6097A/2017		Other Database Import	"Sitz,C.R.; Koster,B.L.; Balansay-Ames,M.S.; Graf,P.C.; Myers,C.A."
