"We acknowledge the authors, originating and submitting laboratories of the sequences from GISAIDÕs EpiFluª Database on which this research is based. The list is detailed below."							
All submitters of data may be contacted directly via the GISAID website www.gisaid.org							
Segment ID	Segment	Country	Collection date	Isolate name	Originating Lab	Submitting Lab	Authors
							
EPI1333786	HA	Cameroon	2016-Jul-07	A/Cameroon/16v-6529/2016	Centre Pasteur du Cameroun	University of Buea	"Hermann Landry, Munshili Njifon; Chavely Gwladys, Monamele; Marie-Astrid, Vernet; Mohamadou Ripa, Njankouo; Louis, Deweerdt; Raphael, Nono; Sebastien, Kenmoe; Wilfred, Mbacham; Richard, Njouom"
EPI1333787	NA	Cameroon	2016-Jul-07	A/Cameroon/16v-6529/2016	Centre Pasteur du Cameroun	University of Buea	"Hermann Landry, Munshili Njifon; Chavely Gwladys, Monamele; Marie-Astrid, Vernet; Mohamadou Ripa, Njankouo; Louis, Deweerdt; Raphael, Nono; Sebastien, Kenmoe; Wilfred, Mbacham; Richard, Njouom"
EPI1333788	MP	Cameroon	2016-Jul-07	A/Cameroon/16v-6529/2016	Centre Pasteur du Cameroun	University of Buea	"Hermann Landry, Munshili Njifon; Chavely Gwladys, Monamele; Marie-Astrid, Vernet; Mohamadou Ripa, Njankouo; Louis, Deweerdt; Raphael, Nono; Sebastien, Kenmoe; Wilfred, Mbacham; Richard, Njouom"
EPI1332381	NA	Cameroon	2016-Oct-04	A/Cameroon/16v-9266/2016	Centre Pasteur du Cameroun	University of Buea	"Hermann Landry, Munshili Njifon; Chavely Gwladys, Monamele; Marie-Astrid, Vernet; Mohamadou Ripa, Njankouo; Louis, Deweerdt; Raphael, Nono; Sebastien, Kenmoe; Wilfred, Mbacham; Richard, Njouom"
EPI1332382	MP	Cameroon	2016-Oct-04	A/Cameroon/16v-9266/2016	Centre Pasteur du Cameroun	University of Buea	"Hermann Landry, Munshili Njifon; Chavely Gwladys, Monamele; Marie-Astrid, Vernet; Mohamadou Ripa, Njankouo; Louis, Deweerdt; Raphael, Nono; Sebastien, Kenmoe; Wilfred, Mbacham; Richard, Njouom"
EPI1332380	HA	Cameroon	2016-Oct-04	A/Cameroon/16v-9266/2016	Centre Pasteur du Cameroun	University of Buea	"Hermann Landry, Munshili Njifon; Chavely Gwladys, Monamele; Marie-Astrid, Vernet; Mohamadou Ripa, Njankouo; Louis, Deweerdt; Raphael, Nono; Sebastien, Kenmoe; Wilfred, Mbacham; Richard, Njouom"
EPI1322174	NP	Reunion	2016-Aug-25	A/Reunion/2122/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322414	MP	Reunion	2016-Aug-25	A/Reunion/2122/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321814	PB1	Reunion	2016-Aug-25	A/Reunion/2122/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321934	PA	Reunion	2016-Aug-25	A/Reunion/2122/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321694	PB2	Reunion	2016-Aug-25	A/Reunion/2122/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322294	NA	Reunion	2016-Aug-25	A/Reunion/2122/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322054	HA	Reunion	2016-Aug-25	A/Reunion/2122/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322534	NS	Reunion	2016-Aug-25	A/Reunion/2122/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322173	NP	Reunion	2016-Jul-11	A/Reunion/2120/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322413	MP	Reunion	2016-Jul-11	A/Reunion/2120/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321813	PB1	Reunion	2016-Jul-11	A/Reunion/2120/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322293	NA	Reunion	2016-Jul-11	A/Reunion/2120/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321933	PA	Reunion	2016-Jul-11	A/Reunion/2120/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321693	PB2	Reunion	2016-Jul-11	A/Reunion/2120/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322053	HA	Reunion	2016-Jul-11	A/Reunion/2120/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322533	NS	Reunion	2016-Jul-11	A/Reunion/2120/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322350	MP	France	2016-Jul-16	A/Lyon/1993/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322110	NP	France	2016-Jul-16	A/Lyon/1993/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321750	PB1	France	2016-Jul-16	A/Lyon/1993/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321870	PA	France	2016-Jul-16	A/Lyon/1993/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321630	PB2	France	2016-Jul-16	A/Lyon/1993/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322230	NA	France	2016-Jul-16	A/Lyon/1993/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321990	HA	France	2016-Jul-16	A/Lyon/1993/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322470	NS	France	2016-Jul-16	A/Lyon/1993/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322062	NP	France	2016-Sep-17	A/Grenoble/2067/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322302	MP	France	2016-Sep-17	A/Grenoble/2067/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322182	NA	France	2016-Sep-17	A/Grenoble/2067/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321702	PB1	France	2016-Sep-17	A/Grenoble/2067/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321582	PB2	France	2016-Sep-17	A/Grenoble/2067/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321822	PA	France	2016-Sep-17	A/Grenoble/2067/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321942	HA	France	2016-Sep-17	A/Grenoble/2067/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322422	NS	France	2016-Sep-17	A/Grenoble/2067/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1131825	MP	Australia	2016-Sep-07	A/Perth/215/2016	Pathwest QE II Medical Centre	WHO Collaborating Centre for Reference and Research on Influenza	"Deng,Y-M.; Iannello,P.; Lau, H.; Kaye,M.; Todd,A.; Komadina,N."
EPI1131826	NA	Australia	2016-Sep-07	A/Perth/215/2016	Pathwest QE II Medical Centre	WHO Collaborating Centre for Reference and Research on Influenza	"Deng,Y-M.; Iannello,P.; Lau, H.; Kaye,M.; Todd,A.; Komadina,N."
EPI1131827	HA	Australia	2016-Sep-07	A/Perth/215/2016	Pathwest QE II Medical Centre	WHO Collaborating Centre for Reference and Research on Influenza	"Deng,Y-M.; Iannello,P.; Lau, H.; Kaye,M.; Todd,A.; Komadina,N."
EPI1131810	MP	Australia	2016-Aug-29	A/Perth/167/2016	Pathwest QE II Medical Centre	WHO Collaborating Centre for Reference and Research on Influenza	"Deng,Y-M.; Iannello,P.; Lau, H.; Kaye,M.; Todd,A.; Komadina,N."
