"We acknowledge the authors, originating and submitting laboratories of the sequences from GISAIDÕs EpiFluª Database on which this research is based. The list is detailed below."							
All submitters of data may be contacted directly via the GISAID website www.gisaid.org							
Segment ID	Segment	Country	Collection date	Isolate name	Originating Lab	Submitting Lab	Authors
							
EPI1322178	NA	France	2017-Mar-02	A/Corte/1203/2017	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321578	PB2	France	2017-Mar-02	A/Corte/1203/2017	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321698	PB1	France	2017-Mar-02	A/Corte/1203/2017	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321818	PA	France	2017-Mar-02	A/Corte/1203/2017	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322058	NP	France	2017-Mar-02	A/Corte/1203/2017	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322298	MP	France	2017-Mar-02	A/Corte/1203/2017	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321938	HA	France	2017-Mar-02	A/Corte/1203/2017	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322418	NS	France	2017-Mar-02	A/Corte/1203/2017	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1299295	PA	Taiwan	2017-Mar-16	A/Linkou/0266/2017		Other Database Import	
EPI1299259	HA	Taiwan	2017-Mar-16	A/Linkou/0266/2017		Other Database Import	
EPI1299301	NP	Taiwan	2017-Mar-16	A/Linkou/0266/2017		Other Database Import	
EPI1299270	MP	Taiwan	2017-Mar-16	A/Linkou/0266/2017		Other Database Import	
EPI1299327	NS	Taiwan	2017-Mar-16	A/Linkou/0266/2017		Other Database Import	
EPI1299102	NA	Taiwan	2017-Mar-16	A/Linkou/0266/2017		Other Database Import	
EPI1299388	PB2	Taiwan	2017-Mar-16	A/Linkou/0266/2017		Other Database Import	
EPI1299096	PB1	Taiwan	2017-Mar-16	A/Linkou/0266/2017		Other Database Import	
EPI1299291	PB1	Taiwan	2017-Jul-18	A/Linkou/0335/2017		Other Database Import	
EPI1299308	PA	Taiwan	2017-Jul-18	A/Linkou/0335/2017		Other Database Import	
EPI1299076	NA	Taiwan	2017-Jul-18	A/Linkou/0335/2017		Other Database Import	
EPI1299173	NP	Taiwan	2017-Jul-18	A/Linkou/0335/2017		Other Database Import	
EPI1299195	MP	Taiwan	2017-Jul-18	A/Linkou/0335/2017		Other Database Import	
EPI1299103	NS	Taiwan	2017-Jul-18	A/Linkou/0335/2017		Other Database Import	
EPI1299379	PB2	Taiwan	2017-Jul-18	A/Linkou/0335/2017		Other Database Import	
EPI1299117	HA	Taiwan	2017-Jul-18	A/Linkou/0335/2017		Other Database Import	
EPI1299244	HA	Taiwan	2017-Jun-21	A/Linkou/0304/2017		Other Database Import	
EPI1299042	PB2	Taiwan	2017-Jun-21	A/Linkou/0304/2017		Other Database Import	
EPI1299078	MP	Taiwan	2017-Jun-21	A/Linkou/0304/2017		Other Database Import	
EPI1299033	PA	Taiwan	2017-Jun-21	A/Linkou/0304/2017		Other Database Import	
EPI1299002	NA	Taiwan	2017-Jun-21	A/Linkou/0304/2017		Other Database Import	
EPI1299119	NP	Taiwan	2017-Jun-21	A/Linkou/0304/2017		Other Database Import	
EPI1299126	PB1	Taiwan	2017-Jun-21	A/Linkou/0304/2017		Other Database Import	
EPI1299030	NS	Taiwan	2017-Jun-21	A/Linkou/0304/2017		Other Database Import	
EPI1248425	MP	Australia	2017-Jul-09	A/Darwin/1019/2017	Institute of Medical and Veterinary Science (IMVS)	WHO Collaborating Centre for Reference and Research on Influenza	"Deng,Y-M; Iannello,P; Lau,H; Kaye,M; Todd,A; Spirason,N; Komadina,N."
EPI1248426	NA	Australia	2017-Jul-09	A/Darwin/1019/2017	Institute of Medical and Veterinary Science (IMVS)	WHO Collaborating Centre for Reference and Research on Influenza	"Deng,Y-M; Iannello,P; Lau,H; Kaye,M; Todd,A; Spirason,N; Komadina,N."
EPI1248427	HA	Australia	2017-Jul-09	A/Darwin/1019/2017	Institute of Medical and Veterinary Science (IMVS)	WHO Collaborating Centre for Reference and Research on Influenza	"Deng,Y-M; Iannello,P; Lau,H; Kaye,M; Todd,A; Spirason,N; Komadina,N."
EPI1248314	MP	Australia	2017-Jul-29	A/Victoria/145/2017	Victorian Infectious Diseases Reference Laboratory 	WHO Collaborating Centre for Reference and Research on Influenza	"Deng,Y-M; Iannello,P; Lau,H; Kaye,M; Todd,A; Spirason,N; Komadina,N."
EPI1248315	NA	Australia	2017-Jul-29	A/Victoria/145/2017	Victorian Infectious Diseases Reference Laboratory 	WHO Collaborating Centre for Reference and Research on Influenza	"Deng,Y-M; Iannello,P; Lau,H; Kaye,M; Todd,A; Spirason,N; Komadina,N."
EPI1248316	HA	Australia	2017-Jul-29	A/Victoria/145/2017	Victorian Infectious Diseases Reference Laboratory 	WHO Collaborating Centre for Reference and Research on Influenza	"Deng,Y-M; Iannello,P; Lau,H; Kaye,M; Todd,A; Spirason,N; Komadina,N."
EPI1242940	NA	Australia	2017-Jul-04	A/Victoria/949/2017	WHO Collaborating Centre for Reference and Research on Influenza	WHO Collaborating Centre for Reference and Research on Influenza	"Deng,Y-M; Iannello,P; Lau,H; Kaye,M; Todd,A; Spirason,N; Komadina,N."
EPI1242941	HA	Australia	2017-Jul-04	A/Victoria/949/2017	WHO Collaborating Centre for Reference and Research on Influenza	WHO Collaborating Centre for Reference and Research on Influenza	"Deng,Y-M; Iannello,P; Lau,H; Kaye,M; Todd,A; Spirason,N; Komadina,N."
EPI1242934	NP	Australia	2017-Jul-04	A/Victoria/949/2017	WHO Collaborating Centre for Reference and Research on Influenza	WHO Collaborating Centre for Reference and Research on Influenza	"Deng,Y-M; Iannello,P; Lau,H; Kaye,M; Todd,A; Spirason,N; Komadina,N."
EPI1242935	NS	Australia	2017-Jul-04	A/Victoria/949/2017	WHO Collaborating Centre for Reference and Research on Influenza	WHO Collaborating Centre for Reference and Research on Influenza	"Deng,Y-M; Iannello,P; Lau,H; Kaye,M; Todd,A; Spirason,N; Komadina,N."
EPI1242936	MP	Australia	2017-Jul-04	A/Victoria/949/2017	WHO Collaborating Centre for Reference and Research on Influenza	WHO Collaborating Centre for Reference and Research on Influenza	"Deng,Y-M; Iannello,P; Lau,H; Kaye,M; Todd,A; Spirason,N; Komadina,N."
EPI1242937	PA	Australia	2017-Jul-04	A/Victoria/949/2017	WHO Collaborating Centre for Reference and Research on Influenza	WHO Collaborating Centre for Reference and Research on Influenza	"Deng,Y-M; Iannello,P; Lau,H; Kaye,M; Todd,A; Spirason,N; Komadina,N."
EPI1242938	PB2	Australia	2017-Jul-04	A/Victoria/949/2017	WHO Collaborating Centre for Reference and Research on Influenza	WHO Collaborating Centre for Reference and Research on Influenza	"Deng,Y-M; Iannello,P; Lau,H; Kaye,M; Todd,A; Spirason,N; Komadina,N."
EPI1242939	PB1	Australia	2017-Jul-04	A/Victoria/949/2017	WHO Collaborating Centre for Reference and Research on Influenza	WHO Collaborating Centre for Reference and Research on Influenza	"Deng,Y-M; Iannello,P; Lau,H; Kaye,M; Todd,A; Spirason,N; Komadina,N."
EPI1205286	PA	Brazil	2017-Jul-23	A/Parana/727/2017	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Centers for Disease Control and Prevention	
EPI1205287	PB2	Brazil	2017-Jul-23	A/Parana/727/2017	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Centers for Disease Control and Prevention	
EPI1205288	PB1	Brazil	2017-Jul-23	A/Parana/727/2017	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Centers for Disease Control and Prevention	
EPI1205283	NP	Brazil	2017-Jul-23	A/Parana/727/2017	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Centers for Disease Control and Prevention	
EPI1205284	NS	Brazil	2017-Jul-23	A/Parana/727/2017	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Centers for Disease Control and Prevention	
EPI1205285	MP	Brazil	2017-Jul-23	A/Parana/727/2017	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Centers for Disease Control and Prevention	
EPI1205289	NA	Brazil	2017-Jul-23	A/Parana/727/2017	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Centers for Disease Control and Prevention	
EPI1205290	HA	Brazil	2017-Jul-23	A/Parana/727/2017	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Centers for Disease Control and Prevention	
EPI1183702	NS	Brazil	2017-May-28	A/Espirito Santo/619/2017	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	WHO Collaborating Centre for Reference and Research on Influenza	"Deng,Y-M.; Iannello,P.; Lau,H.; Kaye,M.; Todd,A.: Komadina,N."
EPI1183703	MP	Brazil	2017-May-28	A/Espirito Santo/619/2017	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	WHO Collaborating Centre for Reference and Research on Influenza	"Deng,Y-M.; Iannello,P.; Lau,H.; Kaye,M.; Todd,A.: Komadina,N."
