"We acknowledge the authors, originating and submitting laboratories of the sequences from GISAIDÕs EpiFluª Database on which this research is based. The list is detailed below."							
All submitters of data may be contacted directly via the GISAID website www.gisaid.org							
Segment ID	Segment	Country	Collection date	Isolate name	Originating Lab	Submitting Lab	Authors
							
EPI1322408	MP	France	2016-Dec-21	A/Poitiers/917/2017	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321808	PB1	France	2016-Dec-21	A/Poitiers/917/2017	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322288	NA	France	2016-Dec-21	A/Poitiers/917/2017	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321928	PA	France	2016-Dec-21	A/Poitiers/917/2017	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321688	PB2	France	2016-Dec-21	A/Poitiers/917/2017	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322168	NP	France	2016-Dec-21	A/Poitiers/917/2017	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322528	NS	France	2016-Dec-21	A/Poitiers/917/2017	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322048	HA	France	2016-Dec-21	A/Poitiers/917/2017	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322273	NA	France	2016-Dec-29	A/Lyon/3012R0191/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322153	NP	France	2016-Dec-29	A/Lyon/3012R0191/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321793	PB1	France	2016-Dec-29	A/Lyon/3012R0191/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321913	PA	France	2016-Dec-29	A/Lyon/3012R0191/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321673	PB2	France	2016-Dec-29	A/Lyon/3012R0191/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322393	MP	France	2016-Dec-29	A/Lyon/3012R0191/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322513	NS	France	2016-Dec-29	A/Lyon/3012R0191/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322033	HA	France	2016-Dec-29	A/Lyon/3012R0191/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322272	NA	France	2016-Dec-29	A/Lyon/2912R0483/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322152	NP	France	2016-Dec-29	A/Lyon/2912R0483/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321792	PB1	France	2016-Dec-29	A/Lyon/2912R0483/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321912	PA	France	2016-Dec-29	A/Lyon/2912R0483/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321672	PB2	France	2016-Dec-29	A/Lyon/2912R0483/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322392	MP	France	2016-Dec-29	A/Lyon/2912R0483/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322512	NS	France	2016-Dec-29	A/Lyon/2912R0483/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322032	HA	France	2016-Dec-29	A/Lyon/2912R0483/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322268	NA	France	2016-Dec-28	A/Lyon/2812R0340/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322148	NP	France	2016-Dec-28	A/Lyon/2812R0340/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321788	PB1	France	2016-Dec-28	A/Lyon/2812R0340/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321908	PA	France	2016-Dec-28	A/Lyon/2812R0340/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321668	PB2	France	2016-Dec-28	A/Lyon/2812R0340/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322388	MP	France	2016-Dec-28	A/Lyon/2812R0340/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322508	NS	France	2016-Dec-28	A/Lyon/2812R0340/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322028	HA	France	2016-Dec-28	A/Lyon/2812R0340/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322147	NP	France	2016-Dec-28	A/Lyon/2812R0335/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321787	PB1	France	2016-Dec-28	A/Lyon/2812R0335/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322387	MP	France	2016-Dec-28	A/Lyon/2812R0335/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321907	PA	France	2016-Dec-28	A/Lyon/2812R0335/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321667	PB2	France	2016-Dec-28	A/Lyon/2812R0335/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322267	NA	France	2016-Dec-28	A/Lyon/2812R0335/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322507	NS	France	2016-Dec-28	A/Lyon/2812R0335/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322027	HA	France	2016-Dec-28	A/Lyon/2812R0335/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322143	NP	France	2016-Dec-26	A/Lyon/2756/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321783	PB1	France	2016-Dec-26	A/Lyon/2756/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322383	MP	France	2016-Dec-26	A/Lyon/2756/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321903	PA	France	2016-Dec-26	A/Lyon/2756/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321663	PB2	France	2016-Dec-26	A/Lyon/2756/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322263	NA	France	2016-Dec-26	A/Lyon/2756/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322023	HA	France	2016-Dec-26	A/Lyon/2756/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322503	NS	France	2016-Dec-26	A/Lyon/2756/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321777	PB1	France	2016-Dec-27	A/Lyon/2712R0049/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322377	MP	France	2016-Dec-27	A/Lyon/2712R0049/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322257	NA	France	2016-Dec-27	A/Lyon/2712R0049/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321897	PA	France	2016-Dec-27	A/Lyon/2712R0049/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321657	PB2	France	2016-Dec-27	A/Lyon/2712R0049/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322137	NP	France	2016-Dec-27	A/Lyon/2712R0049/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322497	NS	France	2016-Dec-27	A/Lyon/2712R0049/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322017	HA	France	2016-Dec-27	A/Lyon/2712R0049/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321773	PB1	France	2016-Dec-25	A/Lyon/2612R0193/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322253	NA	France	2016-Dec-25	A/Lyon/2612R0193/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322373	MP	France	2016-Dec-25	A/Lyon/2612R0193/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321893	PA	France	2016-Dec-25	A/Lyon/2612R0193/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322133	NP	France	2016-Dec-25	A/Lyon/2612R0193/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321653	PB2	France	2016-Dec-25	A/Lyon/2612R0193/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322013	HA	France	2016-Dec-25	A/Lyon/2612R0193/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322493	NS	France	2016-Dec-25	A/Lyon/2612R0193/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322251	NA	France	2016-Dec-24	A/Lyon/2612R0151/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322371	MP	France	2016-Dec-24	A/Lyon/2612R0151/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321771	PB1	France	2016-Dec-24	A/Lyon/2612R0151/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322131	NP	France	2016-Dec-24	A/Lyon/2612R0151/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321891	PA	France	2016-Dec-24	A/Lyon/2612R0151/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321651	PB2	France	2016-Dec-24	A/Lyon/2612R0151/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322011	HA	France	2016-Dec-24	A/Lyon/2612R0151/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322491	NS	France	2016-Dec-24	A/Lyon/2612R0151/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322250	NA	France	2016-Dec-26	A/Lyon/2612R0144/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322370	MP	France	2016-Dec-26	A/Lyon/2612R0144/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321770	PB1	France	2016-Dec-26	A/Lyon/2612R0144/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322130	NP	France	2016-Dec-26	A/Lyon/2612R0144/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321890	PA	France	2016-Dec-26	A/Lyon/2612R0144/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321650	PB2	France	2016-Dec-26	A/Lyon/2612R0144/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322010	HA	France	2016-Dec-26	A/Lyon/2612R0144/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322490	NS	France	2016-Dec-26	A/Lyon/2612R0144/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322243	NA	France	2016-Dec-05	A/Lyon/2397/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322363	MP	France	2016-Dec-05	A/Lyon/2397/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321763	PB1	France	2016-Dec-05	A/Lyon/2397/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322123	NP	France	2016-Dec-05	A/Lyon/2397/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321883	PA	France	2016-Dec-05	A/Lyon/2397/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1321643	PB2	France	2016-Dec-05	A/Lyon/2397/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322003	HA	France	2016-Dec-05	A/Lyon/2397/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
EPI1322483	NS	France	2016-Dec-05	A/Lyon/2397/2016	CNR Influenza France Sud	Centers for Disease Control and Prevention	"Simon,  B.; Pichon,  M.; Valette,  M.; Burfin,  G.; Lina,  B.; Josset,  L"
